time,total_bandwidth_usage,cpu,bw,n_users,qos
2024-05-18 11:05:46.874000128,17.75,2000.0,30.0,5.0,3.55
2024-05-18 11:05:47.874000128,17.92,2000.0,30.0,5.0,3.5840000000000005
2024-05-18 11:05:48.874000128,17.82,2000.0,30.0,5.0,3.564
2024-05-18 11:05:49.874000128,17.91,2000.0,30.0,5.0,3.582
2024-05-18 11:05:50.874000128,17.87,2000.0,30.0,5.0,3.5740000000000003
2024-05-18 11:05:51.874000128,17.92,2000.0,30.0,5.0,3.5840000000000005
2024-05-18 11:05:52.874000128,17.85,2000.0,30.0,5.0,3.5700000000000003
2024-05-18 11:05:53.874000128,18.06,2000.0,30.0,5.0,3.6119999999999997
2024-05-18 11:05:54.874000128,17.52,2000.0,30.0,5.0,3.504
2024-05-18 11:05:55.874000128,17.51,2000.0,30.0,5.0,3.5020000000000002
2024-05-18 11:05:56.874000128,17.79,2000.0,30.0,5.0,3.558
2024-05-18 11:05:57.874000128,15.64,2000.0,30.0,5.0,3.128
2024-05-18 11:05:58.874000128,15.47,2000.0,30.0,5.0,3.0940000000000003
2024-05-18 11:05:59.874000128,17.55,2000.0,30.0,5.0,3.5100000000000002
2024-05-18 11:06:00.874000128,15.81,2000.0,30.0,5.0,3.162
2024-05-18 11:06:01.874000128,13.92,2000.0,30.0,5.0,2.784
2024-05-18 11:06:02.874000128,15.7,2000.0,30.0,5.0,3.1399999999999997
2024-05-18 11:06:03.874000128,17.31,2000.0,30.0,5.0,3.4619999999999997
2024-05-18 11:06:04.874000128,17.14,2000.0,30.0,5.0,3.428
2024-05-18 11:06:05.874000128,17.07,2000.0,30.0,5.0,3.414
2024-05-18 11:06:06.874000128,17.2,2000.0,30.0,5.0,3.44
2024-05-18 11:06:07.874000128,17.33,2000.0,30.0,5.0,3.4659999999999997
2024-05-18 11:06:08.874000128,17.34,2000.0,30.0,5.0,3.468
2024-05-18 11:06:09.874000128,17.27,2000.0,30.0,5.0,3.4539999999999997
2024-05-18 11:06:10.874000128,17.14,2000.0,30.0,5.0,3.428
2024-05-18 11:06:11.874000128,17.11,2000.0,30.0,5.0,3.4219999999999997
2024-05-18 11:06:12.874000128,17.21,2000.0,30.0,5.0,3.442
2024-05-18 11:06:13.874000128,17.22,2000.0,30.0,5.0,3.444
2024-05-18 11:06:14.874000128,17.03,2000.0,30.0,5.0,3.406
2024-05-18 11:06:15.874000128,17.22,2000.0,30.0,5.0,3.444
2024-05-18 11:06:16.874000128,17.7,2000.0,30.0,5.0,3.54
2024-05-18 11:06:17.874000128,17.67,2000.0,30.0,5.0,3.5340000000000003
2024-05-18 11:06:18.874000128,17.08,2000.0,30.0,5.0,3.4159999999999995
2024-05-18 11:06:19.874000128,16.84,2000.0,30.0,5.0,3.368
2024-05-18 11:06:20.874000128,17.14,2000.0,30.0,5.0,3.428
2024-05-18 11:06:21.874000128,17.24,2000.0,30.0,5.0,3.4479999999999995
2024-05-18 11:06:22.874000128,16.78,2000.0,30.0,5.0,3.3560000000000003
2024-05-18 11:06:23.874000128,16.72,2000.0,30.0,5.0,3.344
2024-05-18 11:06:24.874000128,17.11,2000.0,30.0,5.0,3.4219999999999997
2024-05-18 11:06:25.874000128,15.17,2000.0,30.0,5.0,3.034
2024-05-18 11:06:26.874000128,15.0,2000.0,30.0,5.0,3.0
2024-05-18 11:06:27.874000128,16.85,2000.0,30.0,5.0,3.37
2024-05-18 11:06:28.874000128,17.03,2000.0,30.0,5.0,3.406
2024-05-18 11:06:29.874000128,17.5,2000.0,30.0,5.0,3.5
2024-05-18 11:06:30.874000128,17.37,2000.0,30.0,5.0,3.474
2024-05-18 11:06:31.874000128,16.93,2000.0,35.0,5.0,3.386
2024-05-18 11:06:32.874000128,16.84,2000.0,35.0,5.0,3.368
2024-05-18 11:06:33.874000128,16.86,2000.0,35.0,5.0,3.372
2024-05-18 11:06:34.874000128,17.56,2000.0,35.0,5.0,3.5119999999999996
2024-05-18 11:06:35.874000128,17.25,2000.0,35.0,5.0,3.45
2024-05-18 11:06:36.874000128,17.03,2000.0,35.0,5.0,3.406
2024-05-18 11:06:37.874000128,17.19,2000.0,35.0,5.0,3.438
2024-05-18 11:06:38.874000128,17.3,2000.0,35.0,5.0,3.46
2024-05-18 11:06:39.874000128,17.11,2000.0,35.0,5.0,3.4219999999999997
2024-05-18 11:06:40.874000128,16.97,2000.0,35.0,5.0,3.3939999999999997
2024-05-18 11:06:41.874000128,17.36,2000.0,35.0,5.0,3.472
2024-05-18 11:06:42.874000128,17.58,2000.0,35.0,5.0,3.5159999999999996
2024-05-18 11:06:43.874000128,17.16,2000.0,35.0,5.0,3.432
2024-05-18 11:06:44.874000128,17.01,2000.0,35.0,5.0,3.402
2024-05-18 11:06:45.874000128,17.24,2000.0,35.0,5.0,3.4479999999999995
2024-05-18 11:06:46.874000128,17.17,2000.0,35.0,5.0,3.434
2024-05-18 11:06:47.874000128,16.87,2000.0,35.0,5.0,3.374
2024-05-18 11:06:48.874000128,16.87,2000.0,35.0,5.0,3.374
2024-05-18 11:06:49.874000128,17.1,2000.0,35.0,5.0,3.4200000000000004
2024-05-18 11:06:50.874000128,17.24,2000.0,35.0,5.0,3.4479999999999995
2024-05-18 11:06:51.874000128,17.41,2000.0,35.0,5.0,3.482
2024-05-18 11:06:52.874000128,17.59,2000.0,35.0,5.0,3.518
2024-05-18 11:06:53.874000128,17.7,2000.0,35.0,5.0,3.54
2024-05-18 11:06:54.874000128,17.53,2000.0,35.0,5.0,3.5060000000000002
2024-05-18 11:06:55.874000128,17.23,2000.0,35.0,5.0,3.446
2024-05-18 11:06:56.874000128,17.31,2000.0,35.0,5.0,3.4619999999999997
2024-05-18 11:06:57.874000128,17.54,2000.0,35.0,5.0,3.508
2024-05-18 11:06:58.874000128,17.83,2000.0,35.0,5.0,3.566
2024-05-18 11:06:59.874000128,17.82,2000.0,35.0,5.0,3.564
2024-05-18 11:07:00.874000128,17.72,2000.0,35.0,5.0,3.5439999999999996
2024-05-18 11:07:01.874000128,17.48,2000.0,35.0,5.0,3.496
2024-05-18 11:07:02.874000128,17.07,2000.0,35.0,5.0,3.414
